device,predicate
K994430,K971868
K994415,K972596
K994410,K963654
K994409,K972571
K994406,K970395
K994405,K963654
K994404,K972571
K994403,K971926
K994400,K970395
K994399,K971218
K994398,K971926
K994395,K971218
K994390,K981414
K994390,K982414
K994390,K794390
K994389,K971669
K994389,K984456
K994388,K494393
K994387,K982436
K994387,K983907
K994385,K994395
K994385,K594365
K994385,K980308
K994384,K960285
K994384,K962625
K994383,K970048
K994383,K444383
K994382,K970549
K994380,K883707
K994378,K974212
K994376,K925765
K994375,K934551
K994375,K904518
K994374,K981329
K994374,K982946
K994374,K984502
K994374,K991543
K994374,K813186
K994374,K840202
K994374,K991542
K994373,K444371
K994373,K444373
K994373,K961459
K994373,K974269
K994373,K963023
K994369,K982444
K994368,K949436
K994367,K944301
K994367,K990737
K994366,K955871
K994366,K972228
K994366,K941366
K994366,K921301
K994361,K991249
K994359,K973388
K994357,K900678
K994356,K970353
K994356,K964151
K994352,K930525
K994351,K921891
K994349,K930454
K994347,K983583
K994345,K980157
K994345,K774375
K994345,K444345
K994341,K925988
K994336,K945975
K994336,K904993
K994335,K965052
K994334,K910861
K994333,K964071
K994331,K947433
K994330,K961821
K994328,K971745
K994327,K983594
K994325,K973928
K994325,K944325
K994318,K991163
K994317,K914281
K994317,K990193
K994315,K971684
K994314,K970907
K994313,K895252
K994313,K980988
K994313,K144313
K994313,K992405
K994313,K983108
K994228,K933632
K994228,K970064
K994228,K004223
K994225,K973324
K994223,K770729
K994216,K932840
K994216,K830730
K994216,K942024
K994216,K875276
K994211,K983406
K994210,K972229
K994208,K952532
K994208,K926413
K994207,K811630
K994207,K932070
K994207,K910500
K994205,K920768
K994205,K894595
K994205,K991114
K994203,K983029
K994203,K144802
K994202,K961649
K994202,K910229
K994198,K935471
K994198,K854011
K994197,K982399
K994194,K494194
K994193,K953027
K994192,K991913
K994192,K992897
K994191,K984109
K994191,K982379
K994191,K940970
K994191,K955064
K994190,K953374
K994188,K494188
K994188,K982619
K994188,K951127
K994186,K973044
K994184,K960588
K994184,K871347
K994174,K945849
K994174,K962130
K994173,K981672
K994171,K994471
K994168,K854811
K994167,K980959
K994167,K953801
K994166,K990628
K994165,K973075
K994164,K973075
K994160,K771412
K994160,K962043
K994160,K971588
K994158,K974017
K994157,K980780
K994157,K980385
K994156,K992755
K994155,K962503
K994155,K960806
K994154,K945500
K994152,K947134
K994149,K862690
K994149,K992807
K994149,K844992
K994149,K803226
K994149,K930328
K994149,K842543
K994146,K972931
K994145,K970016
K994145,K962919
K994142,K973883
K994142,K992291
K994141,K982543
K994141,K990487
K994139,K972425
K994138,K972425
K994137,K982865
